鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５５號七樓,42.7,住,,,1130314,土地1建物1車位2,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,218.42000000000002,4,2,2,有,有,16360000,80443,坡道平面,52.34,3000000,,RPPPMLRJMHLGFBJ78DA,100.39,0.0,10.26,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７１號四樓,32.42,住,,,1130327,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,151.53,3,2,2,有,有,10500000,72585,坡道平面,26.16,1400000,,RPQNMLSJMHLGFBJ78DA,75.37,0.0,8.16,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２７５號五樓,34.29,住,,,1130309,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,159.43,3,2,2,有,有,12080000,80138,坡道平面,26.16,1400000,,RPVNMLSJMHLGFBJ66DA,79.34,0.0,9.45,有,
關西鎮,房地(土地+建物)+車位,新竹縣關西鎮北平路２５３號七樓,34.6,住,,,1130310,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141229,186.79,3,2,2,有,有,12420000,67987,坡道平面,26.17,1500000,,RPXPMLSJMHLGFBJ07DA,81.28,0.0,8.3,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市高鐵八路３２８號五樓,53.02,住,,,1130122,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141231,220.62,3,2,2,有,有,38760000,209396,坡道平面,44.59,1900000,預售屋、或土地及建物分件登記案件；,RPUNMLNLMHLGFBJ88DA,104.94,0.0,12.5,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市高鐵八路３２８號三樓,51.52,住,,,1121219,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141231,215.62,3,2,2,有,有,37000000,205227,坡道平面,44.59,1900000,預售屋、或土地及建物分件登記案件；,RPSNMLNLMHLGFBJ68DA,104.94,0.0,9.14,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十六街７２號十四樓,14.09,住,,,1111113,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141210,106.17,2,2,1,有,有,18380000,210355,坡道平面,26.4,1600000,預售屋、或土地及建物分件登記案件；,RPWOMLQJKHLGFBJ09DA,47.93,0.0,3.97,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十六街７０號八樓,14.09,住,,,1110712,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141210,106.17,2,2,1,有,有,16600000,185533,坡道平面,26.4,1800000,預售屋、或土地及建物分件登記案件；,RPWPMLQJKHLGFBJ56DA,47.93,0.0,3.97,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十六街６８號十三樓,21.57,住,,,1110713,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141210,174.74,3,2,2,有,有,26370000,186731,坡道平面,52.8,3600000,親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPXNMLLKLHLGFBJ78DA,73.92,0.0,5.53,有,
湖口鄉,房地(土地+建物)+車位,新竹縣湖口鄉中興街５５巷２８號九樓之５,23.18,住,,,1110602,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141216,133.93,2,2,1,有,有,9650000,85822,坡道平面,36.17,1260000,114.02.21夫妻更名預售屋、或土地及建物分件登記案件；,RPXPMLKLMHLGFDJ66DA,59.04,0.0,5.55,有,
