鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹東鎮,房地(土地+建物),新竹縣竹東鎮五豐八莊１９１號,87.76,,鄉村區,乙種建築用地,1150117,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,,116.72,6,2,2,有,無,3150000,26988,,0.0,0,其他增建；,RPUNMLPJLHLGFCJ98EA,116.72,0.0,0.0,無,018
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中豐路二段２３３號四樓,24.27,住,,,1150108,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840801,192.47,4,2,2,有,有,9550000,49618,坡道平面,0.0,0,,RPQNMLTJLHLGFCJ98EA,111.33,0.0,9.8,有,
關西鎮,土地,上橫坑段871-5地號,586.5,,山坡地保育區,農牧用地,1150126,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1060000,1807,,0.0,0,,RPPNMLRLJHLGFBJ48DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興路３１０號十五樓之一,10.31,商,,,1150101,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070920,120.43,2,2,1,有,有,16450000,136594,坡道平面,28.95,0,,RPSNMLQLKHLGFBJ78DA,54.13,0.0,7.97,有,019
新埔鎮,房地(土地+建物),新竹縣新埔鎮文華路２５２號二樓,71.52,,山坡地保育區,丙種建築用地,1150107,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141003,119.46,3,2,2,有,有,16500000,138122,,0.0,0,,RPPNMLSLKHLGFBJ68DA,78.41,0.0,14.78,有,
竹北市,房地(土地+建物),新竹縣竹北市鳳岡路一段３９８巷２３弄２８號,66.51,,山坡地保育區,丙種建築用地,1150113,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900120,123.54,3,2,3,有,有,7800000,63137,,0.0,0,頂樓加蓋；,RPTNMLQJLHLGFBJ78DA,86.09,25.79,11.66,無,020
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利八街二段１２３號十二樓,30.61,住,,,1150115,土地1建物1車位1,十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050913,187.01,3,2,2,有,有,31100000,166301,坡道平面,29.88,0,,RPRNMLKKLHLGFBJ08DA,89.51,7.43,8.3,有,021
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１２６巷８７弄３０號三樓,24.89,都市：其他:科技商務服務專用區,,,1150104,土地3建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1040325,163.96,3,2,2,有,有,16850000,102769,坡道平面,0.0,0,,RPUNMLTJJHLGFCJ09DA,88.23,0.0,5.61,有,022
五峰鄉,土地,花園段135地號,1936.0,,山坡地保育區,林業用地,1150125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,390000,201,,0.0,0,,RPSNMLNLKHLGFCJ58DA,0.0,0.0,0.0,無,
竹東鎮,土地,中山段1711地號,17.19,商,,,1150107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,416000,24200,,0.0,0,,RPQNMLMJLHLGFCJ18DA,0.0,0.0,0.0,無,
寶山鄉,土地,明湖段789地號,255.07,農,,,1150121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6200000,24307,,0.0,0,,RPRNMLTJLHLGFCJ98DA,0.0,0.0,0.0,無,
芎林鄉,房地(土地+建物)+車位,新竹縣芎林鄉文富街１８３號,23.99,住,,,1150105,土地1建物1車位1,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1100306,78.11,0,1,1,有,有,10000000,128025,其他,0.0,0,,RPTNMLTJLHLGFCJ56DA,38.25,0.0,0.0,有,023
竹東鎮,土地,中員段623-6地號,24.0,,特定農業區,農牧用地,1150128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,137000,5708,,0.0,0,親友間交易,RPSNMLKKLHLGFCJ28DA,0.0,0.0,0.0,無,024
竹北市,房地(土地+建物),新竹縣竹北市文化街８０號,20.28,住,,,1150127,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790726,117.45,0,0,0,無,有,9300000,79183,,0.0,0,其他增建；,RPQNMLKKLHLGFBJ08EA,66.0,14.29,0.0,有,
竹東鎮,房地(土地+建物),新竹縣竹東鎮中豐路二段１５５巷１弄１９號,110.0,住,,,1150117,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,99.88,2,2,2,有,無,7200000,72087,,0.0,0,,RPRNMLTJLHLGFCJ09EA,99.88,0.0,0.0,無,
竹東鎮,土地,上員段569-2地號,57.06,,特定農業區,水利用地,1150130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1137776,19940,,0.0,0,政府機關標讓售；,RPTNMLTJLHLGFCJ66EA,0.0,0.0,0.0,無,
關西鎮,土地,上橫坑段540-34地號,2612.64,,山坡地保育區,農牧用地,1150131,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9800000,3751,,0.0,0,未辦保存登記地上物隨同出售,RPQNMLSLKHLGFBJ78DA,0.0,0.0,0.0,無,025
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐北路２８號九樓,19.28,住,,,1150101,土地1建物1車位1,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081014,123.59,2,2,1,有,有,23050000,186504,坡道平面,35.92,0,,RPVNMLMKLHLGFBJ68DA,49.14,0.0,4.0,有,026
芎林鄉,土地,山湖段秀湖小段330地號,1500.0,,特定農業區,農牧用地,1150127,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7200000,4800,,0.0,0,,RPTNMLNJKHLGFCJ48DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮仁愛路４８７巷３４號,85.0,住,,,1150125,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,,103.06,4,2,3,有,無,5850000,56763,,0.0,0,,RPSOMLMJLHLGFCJ48DA,103.06,0.0,0.0,無,
竹東鎮,土地,二重埔段302-23地號,367.75,工,,,1150119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,18300000,49762,,0.0,0,,RPSNMLPJLHLGFCJ68DA,0.0,0.0,0.0,無,027
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮北興路二段２７５號十三樓,22.67,住,,,1150124,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070308,157.94,2,2,2,有,有,17000000,107636,坡道平面,31.88,0,,RPRNMLKKLHLGFCJ18DA,72.65,4.44,8.14,有,028
湖口鄉,房地(土地+建物),新竹縣湖口鄉鳳凰三街１７號二樓,29.0,,工業區,丁種建築用地,1150104,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,90.16999999999999,3,2,1,有,無,4430000,49129,,0.0,0,陽台外推；,RPPNMLQJJHLGFDJ38DA,74.57,0.0,6.75,無,029
竹東鎮,房地(土地+建物),新竹縣竹東鎮五豐八莊８２號,60.0,,鄉村區,乙種建築用地,1150128,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,62.16,4,2,2,有,無,1000000,16088,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKLHLGFCJ28EA,62.16,0.0,0.0,無,
新埔鎮,土地,黃梨園段856地號,1634.98,,山坡地保育區,農牧用地,1150121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2150000,1315,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLNJKHLGFBJ38DA,0.0,0.0,0.0,無,
關西鎮,土地,大旱坑段大旱坑小段165地號,26.48,,山坡地保育區,農牧用地,1150125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,70000,2644,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；畸零地或有合併使用效益；,RPPOMLKKKHLGFBJ87DA,0.0,0.0,0.0,無,030
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明九路３６之２號六樓,24.22,商,,,1150131,土地1建物1車位2,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910208,176.35000000000002,3,2,2,有,有,15900000,90162,坡道機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；夾層；,RPPNMLKKLHLGFBJ87DA,99.66,0.0,10.49,有,
竹北市,房地(土地+建物),新竹縣竹北市興隆路一段６３３號七樓之五,15.18,住,,,1150105,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026,81.93,2,2,1,有,有,13850000,169047,,0.0,0,,RPWNMLMKLHLGFBJ78DA,44.15,4.28,4.93,有,031
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家一路一段１２６號二樓之六,12.39,商,,,1150131,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000707,104.38,1,1,1,有,有,13000000,124545,坡道平面,32.64,0,,RPQOMLMKLHLGFBJ28DA,44.43,0.0,4.08,有,032
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１８８巷２０號十二樓,20.99,都市：其他:科技商務服務專用區,,,1150111,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,144.89999999999998,3,2,2,有,有,17000000,117330,坡道平面,0.0,0,陽台外推；,RPTNMLKKKHLGFCJ28DA,71.61,0.0,7.55,有,033
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政二路南段１３５號十樓,40.76,住,,,1150106,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011025,243.94,4,2,2,有,有,36800000,150857,坡道平面,42.19,0,,RPQNMLLKLHLGFBJ18EA,123.89,5.82,13.03,有,034
竹北市,房地(土地+建物),新竹縣竹北市新民街１９８巷１８號九樓,13.03,商,,,1150102,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850601,117.52000000000001,3,2,2,有,有,8400000,71477,,0.0,0,陽台外推；,RPOOMLMKJHLGFBJ87DA,78.63,0.0,13.82,有,035
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉興二街９號十四樓,20.13,住,,,1150111,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040901,143.18,2,2,1,有,有,22800000,159251,坡道平面,0.0,0,其他增建；,RPROMLNKJHLGFBJ28DA,62.52,7.74,4.17,有,036
竹北市,房地(土地+建物),新竹縣竹北市吳濁流路８２號,142.32,住,,,1150122,土地5建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1000804,402.74,7,2,9,有,無,51000000,126633,,0.0,0,,RPVNMLMLJHLGFBJ58DA,364.97,17.08,20.69,有,037
竹北市,房地(土地+建物),新竹縣竹北市縣政三街１１巷２５號,91.5,住,,,1150121,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0831202,277.98,4,2,5,有,有,25500000,91733,,0.0,0,其他增建；,RPXNMLMLJHLGFBJ78DA,230.18,4.71,11.22,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政二十路９４巷９號五樓,31.54,住,,,1150125,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141128,89.73,2,2,2,有,有,15380000,171153,升降機械,6.88,1200000,,RPORMLMJKHLGFBJ18DA,56.03,0.0,5.83,有,
竹北市,土地,東海窟段旱坑子小段104-1地號,129.82,,特定農業區,農牧用地,1150108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5410000,41673,,0.0,0,,RPPNMLPLKHLGFBJ38DA,0.0,0.0,0.0,無,038
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街４０７號十三樓,12.6,商,,,1150118,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120525,127.71,2,2,1,有,有,13800000,108057,坡道平面,31.93,0,,RPVNMLKKLHLGFBJ48DA,60.27,0.0,5.0,有,039
竹東鎮,土地,竹東段竹東小段46-86地號,78.0,住,,,1150131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4540000,58205,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKLHLGFCJ18DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１２６巷８７弄９號八樓,22.56,都市：其他:科技商務服務專用區,,,1150128,土地3建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1040325,150.45999999999998,2,3,2,有,有,16000000,106341,坡道平面,0.0,0,,RPPNMLKKLHLGFCJ08EA,79.68,0.0,4.62,有,040
關西鎮,土地,湖肚段159-22地號,420.0,,,,1150121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3780000,9000,,0.0,0,,RPQNMLLKKHLGFBJ97DA,0.0,0.0,0.0,無,041
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐三街４６號十樓,38.04,住,,,1150124,土地1建物1車位2,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960402,216.25,3,2,2,有,有,25800000,119306,坡道平面,56.68,0,陽台外推；,RPRNMLPJLHLGFBJ48DA,101.79,1.52,10.9,有,042
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮至善路３２號六樓之３,23.47,住,,,1150124,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141007,182.49,3,2,2,有,有,17000000,93156,坡道平面,57.52,0,,RPPNMLPJKHLGFCJ28DA,74.45,0.0,8.6,有,043
湖口鄉,土地,湖南段1680地號,1271.0,,特定農業區,農牧用地,1150116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16000000,12589,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLPJKHLGFDJ38DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明十四街３３號六樓,26.59,住,,,1150111,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071212,157.65,3,2,2,有,有,21500000,136378,坡道平面,0.0,0,其他增建；,RPUNMLPLKHLGFBJ88DA,82.18,2.98,7.51,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利七街一段１８０號九樓,24.38,商,,,1150123,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920227,126.94,4,2,1,有,有,16200000,127609,坡道平面,0.0,0,陽台外推；夾層；,RPUNMLOJLHLGFBJ68DA,66.17,0.0,9.61,有,
竹北市,房地(土地+建物),新竹縣竹北市縣政十八街６０號,72.16,住,,,1150123,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0840615,133.89,6,2,2,有,無,16880000,126074,,0.0,0,其他增建；,RPVNMLRKLHLGFBJ56DA,126.5,7.39,0.0,無,
竹東鎮,土地,下員段122地號,182.73,,特定農業區,甲種建築用地,1150131,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2684679,14692,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPWNMLTJLHLGFCJ86DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光一路１１１號五樓,25.81,都市：其他:科技商務服務專用區,,,1150121,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,1121003,161.62,2,2,2,有,有,18680000,133364,坡道平面,31.3,1300000,車位編號:493號,RPPNMLQKLHLGFCJ58DA,85.85,0.0,6.37,有,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮光明路１８８巷２２號九樓,21.91,都市：其他:科技商務服務專用區,,,1150126,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080304,151.44,3,2,2,有,有,17800000,117538,坡道平面,0.0,0,,RPPNMLRKLHLGFCJ78EA,75.3,0.0,8.43,有,
竹北市,車位,新竹縣竹北市六家五路二段２１０號,2.1,住,,,1141230,土地1建物1車位1,一層,二十四層,其他,商業用,鋼筋混凝土造,1010328,31.669999999999998,0,0,0,無,有,1200000,,坡道平面,31.67,1200000,僅車位交易；,RPUNMLQJJHLGFBJ68DA,0.0,0.0,0.0,有,044
尖石鄉,土地,嘉興段234地號,9824.67,,山坡地保育區,農牧用地,1141212,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4000000,407,,0.0,0,,RPTNMLMLJHLGFCJ58EA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明九路１８６－２號二樓之二,30.54,住,,,1141229,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140829,91.25,2,2,1,有,有,12600000,132906,其他,3.97,1000000,其他增建；,RPVQMLMJKHLGFBJ78DA,59.94,0.0,2.98,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明九路１８６－２號四樓之一,28.38,住,,,1141229,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140829,85.17,2,2,1,有,有,14800000,169951,其他,3.97,1000000,陽台外推；,RPVRMLMJKHLGFBJ88DA,49.56,0.0,8.91,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市科大一路２１６號十一樓,25.9,住,,,1141226,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010531,162.42000000000002,3,2,2,有,有,21980000,135328,坡道平面,30.01,0,,RPVNMLQJKHLGFBJ88DA,80.6,3.25,8.16,有,045
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興東路二段１２３號十四樓之五,35.67,住,,,1141220,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061020,244.37,3,2,2,有,有,41200000,225195,坡道平面,79.18,4000000,,RPTNMLKKLHLGFBJ28DA,94.74,5.25,11.45,有,046
竹北市,房地(土地+建物),新竹縣竹北市新光街８６巷６號七樓,13.3,住,,,1141212,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820528,78.65,2,2,1,有,有,7280000,92562,,0.0,0,,RPOQMLMJKHLGFBJ08DA,57.74,0.0,3.84,有,
竹北市,房地(土地+建物),新竹縣竹北市鳳岡路一段３９８巷４６號,246.86,,山坡地保育區,丙種建築用地,1141226,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0900120,171.82,4,2,3,有,有,14980000,87184,,0.0,0,頂樓加蓋；其他增建；,RPPNMLMKKHLGFBJ97DA,149.83,8.44,13.55,無,047
新埔鎮,房地(土地+建物),新竹縣新埔鎮新湖路３８巷２弄６號,152.05,,山坡地保育區,丙種建築用地,1141207,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010315,280.22,5,4,5,有,有,21000000,74941,,0.0,0,陽台外推；其他增建；,RPWNMLOJLHLGFBJ88DA,265.69,0.0,13.53,有,048
寶山鄉,土地,深井段536-8地號,2501.0,,山坡地保育區,農牧用地,1141231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,3998,,0.0,0,,RPQNMLPJLHLGFCJ48DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮三重一路８號,94.87,都市：其他:住一,,,1141217,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,,122.87,4,2,3,有,無,12000000,97664,,0.0,0,增值稅由買方支付。親友、員工、共有人或其他特殊關係間之交易；,RPQNMLQJLHLGFCJ58DA,122.87,0.0,0.0,無,
竹北市,土地,馬麟厝段340地號,700.0,,特定農業區,農牧用地,1141201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10820000,15457,,0.0,0,,RPPPMLMJKIKGFBJ08DA,0.0,0.0,0.0,無,
新埔鎮,房地(土地+建物),新竹縣新埔鎮大享路１７巷２弄９號,423.13,,山坡地保育區,丙種建築用地,1141209,土地5建物1車位0,全,二層,透天厝,住家用,鋼骨造,0960207,240.43,5,2,3,有,有,32380000,134675,,0.0,0,陽台外推；,RPRNMLSLKHLGFBJ88DA,226.84,0.0,13.59,無,049
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉豐十路５號四樓之八,6.16,商,,,1141219,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970321,75.7,1,1,1,有,有,10300000,136063,坡道平面,0.0,0,,RPVNMLOJLHLGFBJ78DA,26.1,3.11,0.0,有,
竹北市,房地(土地+建物),新竹縣竹北市光明十一路１巷９６號,1182.27,都市：其他:農業區,,,1141230,土地6建物1車位0,全,二層,透天厝,農業用,加強磚造,0720523,152.59,6,2,3,有,無,60400000,395832,,0.0,0,,RPRNMLQJKHLGFBJ58EA,152.59,0.0,0.0,無,050
竹北市,土地,大學段486地號,140.97,住,,,1141231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,31160000,221040,,0.0,0,,RPXNMLPKJHLGFBJ98DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市國強街２９巷１２號,106.03,住,,,1141231,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0661214,126.0,4,2,2,有,無,6000000,47619,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPOMLLKLHLGFBJ08DA,126.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市新民街２６８巷５３弄２０號,153.33,農,,,1141218,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0881119,277.5,4,2,4,有,有,21980000,79207,,0.0,0,陽台外推；其他增建；,RPSNMLMKLHLGFBJ38DA,212.27,26.92,9.07,無,
芎林鄉,土地,金獅段1059-1地號,327.31,,鄉村區,乙種建築用地,1141228,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,38400000,117320,,0.0,0,,RPUNMLTJLHLGFCJ66DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十六街１號八樓之六,29.69,住,,,1141207,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090702,192.57,3,2,2,有,有,38100000,197850,坡道平面,32.73,0,,RPWOMLRLJHLGFBJ66DA,91.99,2.13,11.71,有,051
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政二十路９４巷７號二樓,33.3,住,,,1141209,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141128,108.42,2,2,2,有,有,17500000,165866,一樓平面,21.0,3000000,,RPSNMLQKLHLGFBJ78DA,59.0,0.0,6.26,有,
竹東鎮,土地,頭重埔段237-73地號,40.24,工,,,1141231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2297000,57083,,0.0,0,,RPPNMLNKLHLGFCJ28DA,0.0,0.0,0.0,無,052
竹北市,房地(土地+建物)+車位,新竹縣竹北市華興五街１２３號六樓之五,30.32,住,,,1141228,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140815,185.44,3,2,2,有,有,28500000,153689,坡道平面,0.0,0,,RPQNMLSJJHLGFBJ48DA,91.94,0.0,9.15,有,053
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬七街９５號十一樓,45.73,住,,,1141230,土地1建物1車位2,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020207,279.37,3,2,2,有,有,39320000,140745,坡道平面,56.09,0,其他增建；,RPSPMLMJLHLGFBJ48DA,136.18,10.49,11.64,有,054
竹東鎮,土地,二重埔段245-17地號,496.0,工,,,1141211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,25250000,50907,,0.0,0,,RPPPMLTKJHLGFCJ88DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利二路３６號五樓,26.73,商,,,1141220,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010120,212.39,3,2,2,有,有,33980000,159989,坡道平面,0.0,0,其他增建；,RPUNMLNLKIKGFBJ68DA,119.29,13.77,10.47,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路二段８號五樓,41.44,商,,,1141230,土地1建物1車位2,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050111,372.07,4,2,4,有,有,66880000,179751,坡道平面,79.32,0,,RPSPMLRLJHLGFBJ98DA,181.57,0.0,14.02,有,
新埔鎮,土地,箭竹窩段912地號,973.17,,山坡地保育區,農牧用地,1141231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3017803,3101,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPRNMLTJKHLGFBJ78DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市中正東路３７１巷３號十樓,27.03,住,,,1141111,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861209,178.19,3,2,2,有,有,13880000,77894,坡道平面,0.0,0,,RPPPMLPLJIKGFBJ48DA,103.95,0.0,14.59,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家一路一段１１０號三樓,26.97,住,,,1141121,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930901,154.4,3,2,2,有,有,19900000,128886,坡道平面,0.0,0,其他增建；,RPQNMLTJLHLGFBJ78DA,77.58,0.0,9.57,有,055
橫山鄉,土地,油羅段377-1地號,264.56,,山坡地保育區,農牧用地,1141106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,79367,300,,0.0,0,地清或未辦繼承標售；,RPPNMLPLKHLGFCJ58EA,0.0,0.0,0.0,無,
橫山鄉,土地,油羅段378-3地號,405.78,,山坡地保育區,農牧用地,1141106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,121733,300,,0.0,0,地清或未辦繼承標售；,SPPNMLPLKHLGFCJ68EA,0.0,0.0,0.0,無,
橫山鄉,土地,油羅段378-5地號,206.33,,山坡地保育區,林業用地,1141106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,61900,300,,0.0,0,地清或未辦繼承標售；,TPPNMLPLKHLGFCJ78EA,0.0,0.0,0.0,無,
